"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 05 20:30:40 GMT 2021","Wed May 05 20:30:41 GMT 2021","1002","","","","","","Delete existing label for authorized user",""
"broken","Wed May 05 20:30:40 GMT 2021","Wed May 05 20:30:40 GMT 2021","1","","","","","","Add label to existing issue for authorized user",""
"passed","Wed May 05 20:30:41 GMT 2021","Wed May 05 20:30:41 GMT 2021","1","","","","","","Close existing milestone for authorized user",""
"passed","Wed May 05 20:30:40 GMT 2021","Wed May 05 20:30:40 GMT 2021","1","","","","","","Create new label via api",""
"passed","Wed May 05 20:30:41 GMT 2021","Wed May 05 20:30:41 GMT 2021","1","","","","","","Create new milestone for authorized user",""
"passed","Wed May 05 20:30:40 GMT 2021","Wed May 05 20:30:40 GMT 2021","1","","","","","","Delete existing label via api",""
"broken","Wed May 05 20:30:40 GMT 2021","Wed May 05 20:30:40 GMT 2021","1","","","","","","Create new label for authorized user",""
