"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 19 09:39:14 GMT 2021","Mon Apr 19 09:39:15 GMT 2021","1003","","","","","","Add label to existing issue for authorized user",""
"passed","Mon Apr 19 09:39:15 GMT 2021","Mon Apr 19 09:39:15 GMT 2021","1","","","","","","Create new milestone for authorized user",""
"passed","Mon Apr 19 09:39:14 GMT 2021","Mon Apr 19 09:39:14 GMT 2021","2","","","","","","Create new label via api",""
"passed","Mon Apr 19 09:39:15 GMT 2021","Mon Apr 19 09:39:15 GMT 2021","1","","","","","","Close existing milestone for authorized user",""
"passed","Mon Apr 19 09:39:14 GMT 2021","Mon Apr 19 09:39:14 GMT 2021","1","","","","","","Delete existing label via api",""
"broken","Mon Apr 19 09:39:15 GMT 2021","Mon Apr 19 09:39:15 GMT 2021","2","","","","","","Delete existing label for authorized user",""
"broken","Mon Apr 19 09:39:14 GMT 2021","Mon Apr 19 09:39:14 GMT 2021","2","","","","","","Create new label for authorized user",""
