"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 09 09:11:12 GMT 2021","Tue Mar 09 09:11:12 GMT 2021","2","","","","","","Delete existing label via api",""
"passed","Tue Mar 09 09:11:12 GMT 2021","Tue Mar 09 09:11:12 GMT 2021","2","","","","","","Create new label for authorized user",""
"passed","Tue Mar 09 09:11:12 GMT 2021","Tue Mar 09 09:11:12 GMT 2021","2","","","","","","Create new label via api",""
"failed","Tue Mar 09 09:11:12 GMT 2021","Tue Mar 09 09:11:13 GMT 2021","1012","","","","","","Delete existing label for authorized user",""
"broken","Tue Mar 09 09:11:12 GMT 2021","Tue Mar 09 09:11:12 GMT 2021","2","","","","","","Add label to existing issue for authorized user",""
"passed","Tue Mar 09 09:11:13 GMT 2021","Tue Mar 09 09:11:13 GMT 2021","2","","","","","","Create new milestone for authorized user",""
"passed","Tue Mar 09 09:11:13 GMT 2021","Tue Mar 09 09:11:13 GMT 2021","1","","","","","","Close existing milestone for authorized user",""
